twyg,2=🪪
rtsm,2=📱
rtsm,3=📲
ktrc,2=[吃瓜]
vftt,2=[奸笑]
smtd,2=[机智]
bbh,2=[耶]
gdkb,2=[天啊]
gdkb,3=ヽ(´･д･｀)ﾉ
pywf,2=[社会社会]
vbrq,2=[好的]
rsew,2=[打脸]
trhv,2=[翻白眼]
adiv,2=[苦涩]
gqga,2=[裂开]
rath,2=[抠鼻]
aqpy,2=🫡
aqpy,3=∠(°ゝ°）
aqpy,4=(`ー´)7
avn,2=(ˉ▽￣～)切~~
bmpw,2=0(:3)～=͟͟͞͞('､3)_ヽ)＿
bye,2=ヾ(￣▽￣)Bye~Bye~
bye,3=(ToT)/~~~
gina,2=(＠_＠;)
gina,3=ヾ(°ｰ°ヾ)^?啊咧？
fcu,2=乀(ˉεˉ乀)
fcu,3=(ーー゛)
govi,2=(･᷄ὢ･᷅)
djnd,2=(＞﹏＜)
htsg,2=('-ωก̀)
htsg,3=(つω｀)～
iopg,2=━━(￣ー￣*|||━━
iuce,2=(ノ｀Д)ノ滚~
iujg,2=(〃･ิ‿･ิ)ゞ
jbda,2=←_←
jbdk,2=→_→
kbsk,2=w(ﾟДﾟ)w
kbsk,3=(＃°Д°)啊？
kbsk,4=ヽ(´･д･｀)ﾉ
kbsk,5=Ｏ(≧口≦)Ｏ
kdbn,2=(⊙﹏⊙)呃~~
kdbn,3=-________-''
kdbn,4=(⊙﹏⊙)
kljh,2=(＞﹏＜)
kghy,2=!!!∑(°Д°ノ)ノ
kghy,3=(☄⊙ω⊙)☄
kghy,4=(*Φ皿Φ*)
kgqt,2=┗|｀O′|┛嗷~~
kgqt,3=ヾ(≧O≦)〃嗷~
kgqt,4=(>▽<)
klge,2=(#`O′)
ksu,2=(⊙_⊙)
ksks,2=눈_눈
ksks,3=(￣▽￣)"
ktgg,2=ʅ（´◔౪◔）ʃ
ktgg,3=～(￣▽￣～)~
ktgg,4=〜(￣▽￣〜)(〜￣▽￣)〜
ktgg,5=⁽⁽ଘ(ˊᵕˋ)ଓ⁾⁾
kwgk,2=⸜(⌓̈)⸝
kybh,2=o(￣ヘ￣o＃)
kybh,3=(ˇ╮ˇ)
lwmv,2=（´Д`）
nlwy,2=(°ー°〃)
ngkm,2=_(:3」∠)_
ngkm,3=_(:ᗤ」ㄥ)_
ngkm,4=_(°ω°」∠)_
ngkm,5=_(´ཀ`」∠)_
ngkm,6=_('-'_)⌒)_
ngkm,7=⊂︎(__⊂︎⌒︎`つ
ngkm,8=ヾ(⌒(_´-ㅅ-`)_
ngkm,9=0(:3)～=͟͟͞͞('､3)_ヽ)＿
nges,2=٩(๑´0`๑)۶
nudf,2=─=≡Σ(((つ•̀ω•́)つ
ogou,2=X﹏X
orz,2=○|￣|_
pdud,2=🫣
pdud,3=(*/ω＼*)
pdud,4=(⁄⁄•⁄ω⁄•⁄⁄)
pdud,5=(′▽`〃)
pdud,6=(✿◡‿◡)
pdud,7=o(*////▽////*)q
rrhj,2=（╯°口°）╯︵┴─┴
rrhj,3=(ノ=Д=)ノ┻━┻
rrhj,4=(╯‵□′)╯︵┻━┻
rrhj,5=o(*≧▽≦)ツ┏━┓
rrhj,6=┻━┻︵╰(‵□′)╯︵┻━┻
rslk,2=((◞•̀д•́)◞⚔◟(•̀д•́◟))
rskg,2=ε-(´∀｀;)
rvkt,2=(｡･∀･)ﾉﾞヾ(･ω･。)
sknr,2=ヽ(*。>Д<)o゜
gkim,2=ᕕ(ᐛ)ᕗ
rwai,2=(。_。)
wbn,2=╭(′•㉨•′)╭☞
wnes,2=٩(๑´0`๑)۶
tsgf,2=(～￣(OO)￣)ブ
tsgf,3=(っ*´Д`)っ
meik,2=o(≧口≦)o
klfh,2=_____λ......___丬别走啊～～
bingo,2=(o゜▽゜)o☆[BINGO!]
thiu,2=(￣‘i￣;)
cgfh,2=o(￣┰￣*)ゞ
cgfh,3=（＞人＜；）
cgfh,4=（。・＿・。）ﾉ
ktqn,2=ψ(｀∇´)ψ
ktqn,3=(((((ヾ(o=^•ェ•)o┏━┓
thug,2=(o≖◡≖)
khwg,2=……]((o__)'彡☆
wqud,2=(。﹏。)
klkl,2=嗯~o(*￣▽￣*)o
rccf,2=(ﾟДﾟ*)ﾉ
ytnx,2=○|￣|_=3
nukq,2=(*￣3￣)╭
wvgq,2=分＞(￣▽￣=￣︿￣)<裂
tfud,2=(σ'ω')σ
tfud,3=～(TロT)σ
tfux,2=o(*^＠^*)o
rqew,2=(￫ܫ￩)
cfhv,2=(￫ܫ￩)
kwkw,2=*´∀`)´∀`)*´∀`)*´∀`)
kwkw,3=○(＾皿＾)っHiahiahia…
kitu,2=ヾ(≧∇≦*)ゝ
kitu,3=(｡･∀･)ﾉﾞ
kitu,4=Hi~o(*￣▽￣*)ブ
xxny,2=🫰
xxny,3=🫶
xxny,4=(´▽`ʃ♡ƪ)
xxny,5=🫰🏻
xxny,6=🫰🏼
xxny,7=🫰🏽
xxny,8=🫰🏾
xxny,9=🫰🏿
xxny,10=🫶🏻
xxny,11=🫶🏼
xxny,12=🫶🏽
xxny,13=🫶🏾
xxny,14=🫶🏿
cqqb,2=(＾∀＾)／欢迎＼(＾∀＾)
yekk,2=_〆(´Д｀)
lkpe,2=『家』～o(▽｀o)=3=3=3
mqdm,2=＼（＾∀＾）メ（＾∀＾）ノ
aqet,2=ヾ(￣ー￣)X(^▽^)ゞ
gufm,2=(o￣3)==@))゜ロ゜((@==(′ε′)o
ctwg,2=(‾◡◝)
nyfk,2=╰(*°▽°*)╯
xnxf,2=o(′益`)o
fmip,2=(￣ー￣)人(^▽^)
skgo,2=（＝。＝）
skgo,3=(〃＞目＜)
amnd,2=┌(。Д。)┐
adny,2=(-'`-;)
ddpd,2=（。＾▽＾）
tddc,2=~%?…,#*'☆&℃$︿★?
iakh,2=o(*￣︶￣*)o
iakh,3=(๑¯∀¯๑)
dmnk,2=(￣￣)σ…(＿＿)ノ｜壁
jerr,2=(oﾟvﾟ)ノ
sffp,2=.....((/--)/
rhy,2=(/≧▽≦)/
adtf,2=(☆▽☆)
lcal,2=(´ｰ∀ｰ`)
fcgq,2=(-__-)=@))>o<)
tfmg,2=(ﾟｰﾟ)
tfmg,3=ヾ(＠⌒ー⌒＠)ノ
bqsg,2=(*︾▽︾)
mguj,2=(。・∀・)ノ
wwrh,2=(/ω＼*)………(/ω•＼*)
wwpw,2=┬┴┤_•)
rtbn,2=ヽ(゜▽゜)－C<(/;◇;)/~
tvnb,2=🥹
tvnb,3=╥﹏╥...
fqdu,2=（o´・ェ・｀o）
[,2=🫣
[,3=つ﹏⊂
fupy,2=o(*￣▽￣*)o
rqnf,2=(╯▽╰)
qbk,2=(*￣(エ)￣)
qbk,3=(+(工)+╬)
㖿,2=(＾－＾)V
kfpu,2=[噎住](*⊙~⊙)
yqrn,2=ヽ(￣ω￣(￣ω￣〃)ゝ
qbwy,2=o(一︿一+)o
lrh,2=ˋ(°▽、°)(o(￣▽￣///(斩!!)
rddl,2=(o>ε(o>ｕ(≧∩≦)
fhvb,2=o(^▽^)o
rrhy,2=W(￣_￣)W
thyo,2=(◡ᴗ◡✿)
thqs,2=…〒_〒…‵ｏ′-一┳═┻︻▄
wdss,2=ZZzz…(。-ω-)..ooO((【•:*:~夢~:*:•】))
tdbu,2=(◐‿◑)
ggtt,2=9886新世纪五笔
ddtt,2=😀
ddtt,3=😁
ddtt,4=😂
ddtt,5=🤣
ddtt,6=(ಡωಡ)
ddtt,7=∠(ᐛ」∠)＿
ddtt,8=(≧▽≦)
ddtt,9=˳⚆ɞ⚆˳
ddtt,10=😃
ddtt,11=😄
ddtt,12=🤩
ddtt,13=😅
ddtt,14=😆
ddtt,15=😉
ddtt,16=😊
ddtt,17=😋
ddtt,18=😎
ddtt,19=😺
ddtt,20=😸
ddtt,21=😹
gany,2=＼(￣︶￣)／
gany,3=(◔◡◔)
gany,4=（｡ò∀ó｡）
gany,5=ヾ(◍°∇°◍)ﾉﾞ
gany,6=๑乛◡乛๑
gany,7=蹦跶ヾ(*´▽‘*)ﾉ
gany,8=(●'◡'●)ﾉ
gany,9=ヽ(≧Д≦)ノ
gany,10=(•̀∀•́)
gany,11=o(≧v≦)o~~
gany,12=(˘•ω•˘)
gany,13=(/≧▽≦/)
gany,14=\(^o^)/
